"calendar_year","location","ethnicity","experiencing_homelessness"
2017,"California","Hispanic/Latinx","60962"
2017,"California","Not Hispanic/Latinx","119153"
2017,"California","Unknown","3791"
2017,"Santa Clara County CoC","Hispanic/Latinx","5034"
2017,"Santa Clara County CoC","Not Hispanic/Latinx","5074"
2017,"Santa Clara County CoC","Unknown","57"
2017,"San Francisco CoC","Hispanic/Latinx","1200"
2017,"San Francisco CoC","Not Hispanic/Latinx","2887"
2017,"San Francisco CoC","Unknown","268"
2017,"Alameda County CoC","Hispanic/Latinx","1285"
2017,"Alameda County CoC","Not Hispanic/Latinx","5278"
2017,"Alameda County CoC","Unknown","46"
2017,"Sacramento County CoC","Hispanic/Latinx","1855"
2017,"Sacramento County CoC","Not Hispanic/Latinx","8512"
2017,"Sonoma County CoC","Hispanic/Latinx","870"
2017,"Sonoma County CoC","Not Hispanic/Latinx","2202"
2017,"Contra Costa County CoC","Hispanic/Latinx","892"
2017,"Contra Costa County CoC","Not Hispanic/Latinx","4033"
2017,"Contra Costa County CoC","Unknown","35"
2017,"Monterey, San Benito Counties CoC","Hispanic/Latinx","1332"
2017,"Monterey, San Benito Counties CoC","Not Hispanic/Latinx","887"
2017,"Marin County CoC","Hispanic/Latinx","359"
2017,"Marin County CoC","Not Hispanic/Latinx","1234"
2017,"Marin County CoC","Unknown","32"
2017,"Santa Cruz County CoC","Hispanic/Latinx","667"
2017,"Santa Cruz County CoC","Not Hispanic/Latinx","1130"
2017,"Santa Cruz County CoC","Unknown","48"
2017,"Mendocino County CoC","Hispanic/Latinx","82"
2017,"Mendocino County CoC","Not Hispanic/Latinx","622"
2017,"Stanislaus County CoC","Hispanic/Latinx","2801"
2017,"Stanislaus County CoC","Not Hispanic/Latinx","3361"
2017,"San Joaquin County CoC","Hispanic/Latinx","3148"
2017,"San Joaquin County CoC","Not Hispanic/Latinx","6124"
2017,"San Joaquin County CoC","Unknown","347"
2017,"San Mateo County CoC","Hispanic/Latinx","1507"
2017,"San Mateo County CoC","Not Hispanic/Latinx","2612"
2017,"San Mateo County CoC","Unknown","55"
2017,"Kings, Tulare Counties CoC","Hispanic/Latinx","1446"
2017,"Kings, Tulare Counties CoC","Not Hispanic/Latinx","1508"
2017,"Kings, Tulare Counties CoC","Unknown","15"
2017,"Fresno, Madera Counties CoC","Hispanic/Latinx","976"
2017,"Fresno, Madera Counties CoC","Not Hispanic/Latinx","1213"
2017,"Fresno, Madera Counties CoC","Unknown","11"
2017,"Placer County CoC","Hispanic/Latinx","196"
2017,"Placer County CoC","Not Hispanic/Latinx","1050"
2017,"Placer County CoC","Unknown","25"
