"calendar_year","location","gender","experiencing_homelessness"
2017,"California","Female","79670"
2017,"California","Male","101901"
2017,"California","Non-Singular Gender","148"
2017,"California","Transgender","676"
2017,"California","Unknown","1505"
2017,"Santa Clara County CoC","Female","3877"
2017,"Santa Clara County CoC","Male","6225"
2017,"Santa Clara County CoC","Transgender","39"
2017,"Santa Clara County CoC","Unknown","15"
2017,"San Francisco CoC","Female","1692"
2017,"San Francisco CoC","Male","2403"
2017,"San Francisco CoC","Non-Singular Gender","18"
2017,"San Francisco CoC","Transgender","50"
2017,"San Francisco CoC","Unknown","192"
2017,"Alameda County CoC","Female","3015"
2017,"Alameda County CoC","Male","3548"
2017,"Alameda County CoC","Transgender","17"
2017,"Alameda County CoC","Unknown","23"
2017,"Sacramento County CoC","Female","4989"
2017,"Sacramento County CoC","Male","5347"
2017,"Sacramento County CoC","Non-Singular Gender","11"
2017,"Sacramento County CoC","Transgender","26"
2017,"Sonoma County CoC","Female","1322"
2017,"Sonoma County CoC","Male","1735"
2017,"Sonoma County CoC","Transgender","16"
2017,"Contra Costa County CoC","Female","2155"
2017,"Contra Costa County CoC","Male","2785"
2017,"Monterey, San Benito Counties CoC","Female","1224"
2017,"Monterey, San Benito Counties CoC","Male","988"
2017,"Marin County CoC","Female","664"
2017,"Marin County CoC","Male","956"
2017,"Santa Cruz County CoC","Female","749"
2017,"Santa Cruz County CoC","Male","1073"
2017,"Santa Cruz County CoC","Unknown","12"
2017,"Mendocino County CoC","Female","240"
2017,"Mendocino County CoC","Male","468"
2017,"Stanislaus County CoC","Female","3058"
2017,"Stanislaus County CoC","Male","3091"
2017,"San Joaquin County CoC","Female","4635"
2017,"San Joaquin County CoC","Male","4976"
2017,"San Mateo County CoC","Female","1827"
2017,"San Mateo County CoC","Male","2336"
2017,"Kings, Tulare Counties CoC","Female","1410"
2017,"Kings, Tulare Counties CoC","Male","1554"
2017,"Fresno, Madera Counties CoC","Female","1011"
2017,"Fresno, Madera Counties CoC","Male","1176"
2017,"Placer County CoC","Female","557"
2017,"Placer County CoC","Male","703"
2017,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Female","158"
2017,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Male","94"
2017,"Napa County CoC","Female","368"
2017,"Napa County CoC","Male","578"
2017,"Solano County CoC","Female","439"
2017,"Solano County CoC","Male","558"
2017,"Butte County CoC","Female","619"
2017,"Butte County CoC","Male","760"
2017,"Merced County CoC","Female","200"
2017,"Merced County CoC","Male","403"
2017,"Yolo County CoC","Female","256"
2017,"Yolo County CoC","Male","258"
2017,"Humboldt County CoC","Female","410"
2017,"Humboldt County CoC","Male","506"
2017,"Colusa, Glenn, Trinity Counties CoC","Female","108"
2017,"Colusa, Glenn, Trinity Counties CoC","Male","90"
