"calendar_year","location","race","experiencing_homelessness"
2017,"California","American Indian, Alaska Native, or Indigenous","5638"
2017,"California","Asian or Asian American","3005"
2017,"California","Black, African American, or African","57665"
2017,"California","Multiple Races","9048"
2017,"California","Native Hawaiian or Pacific Islander","2555"
2017,"California","Unknown","6391"
2017,"California","White","99604"
2017,"Santa Clara County CoC","American Indian, Alaska Native, or Indigenous","603"
2017,"Santa Clara County CoC","Asian or Asian American","420"
2017,"Santa Clara County CoC","Black, African American, or African","1575"
2017,"Santa Clara County CoC","Multiple Races","767"
2017,"Santa Clara County CoC","Native Hawaiian or Pacific Islander","241"
2017,"Santa Clara County CoC","Unknown","256"
2017,"Santa Clara County CoC","White","6303"
2017,"San Francisco CoC","American Indian, Alaska Native, or Indigenous","266"
2017,"San Francisco CoC","Asian or Asian American","184"
2017,"San Francisco CoC","Black, African American, or African","1691"
2017,"San Francisco CoC","Multiple Races","235"
2017,"San Francisco CoC","Native Hawaiian or Pacific Islander","109"
2017,"San Francisco CoC","Unknown","442"
2017,"San Francisco CoC","White","1428"
2017,"Alameda County CoC","American Indian, Alaska Native, or Indigenous","223"
2017,"Alameda County CoC","Asian or Asian American","182"
2017,"Alameda County CoC","Black, African American, or African","3671"
2017,"Alameda County CoC","Multiple Races","629"
2017,"Alameda County CoC","Native Hawaiian or Pacific Islander","100"
2017,"Alameda County CoC","Unknown","74"
2017,"Alameda County CoC","White","1730"
2017,"Sacramento County CoC","American Indian, Alaska Native, or Indigenous","249"
2017,"Sacramento County CoC","Asian or Asian American","123"
2017,"Sacramento County CoC","Black, African American, or African","4629"
2017,"Sacramento County CoC","Multiple Races","870"
2017,"Sacramento County CoC","Native Hawaiian or Pacific Islander","160"
2017,"Sacramento County CoC","Unknown","24"
2017,"Sacramento County CoC","White","4319"
2017,"Sonoma County CoC","American Indian, Alaska Native, or Indigenous","315"
2017,"Sonoma County CoC","Asian or Asian American","31"
2017,"Sonoma County CoC","Black, African American, or African","224"
2017,"Sonoma County CoC","Multiple Races","311"
2017,"Sonoma County CoC","Native Hawaiian or Pacific Islander","50"
2017,"Sonoma County CoC","Unknown","17"
2017,"Sonoma County CoC","White","2132"
2017,"Contra Costa County CoC","American Indian, Alaska Native, or Indigenous","358"
2017,"Contra Costa County CoC","Asian or Asian American","82"
2017,"Contra Costa County CoC","Black, African American, or African","1899"
2017,"Contra Costa County CoC","Multiple Races","286"
2017,"Contra Costa County CoC","Native Hawaiian or Pacific Islander","128"
2017,"Contra Costa County CoC","Unknown","158"
2017,"Contra Costa County CoC","White","2049"
2017,"Monterey, San Benito Counties CoC","American Indian, Alaska Native, or Indigenous","74"
2017,"Monterey, San Benito Counties CoC","Asian or Asian American","37"
2017,"Monterey, San Benito Counties CoC","Black, African American, or African","227"
2017,"Monterey, San Benito Counties CoC","Multiple Races","129"
2017,"Monterey, San Benito Counties CoC","Native Hawaiian or Pacific Islander","34"
2017,"Monterey, San Benito Counties CoC","White","1716"
2017,"Marin County CoC","American Indian, Alaska Native, or Indigenous","29"
2017,"Marin County CoC","Asian or Asian American","36"
2017,"Marin County CoC","Black, African American, or African","341"
2017,"Marin County CoC","Multiple Races","58"
2017,"Marin County CoC","Native Hawaiian or Pacific Islander","18"
2017,"Marin County CoC","Unknown","62"
2017,"Marin County CoC","White","1081"
2017,"Santa Cruz County CoC","American Indian, Alaska Native, or Indigenous","196"
2017,"Santa Cruz County CoC","Asian or Asian American","20"
2017,"Santa Cruz County CoC","Black, African American, or African","103"
2017,"Santa Cruz County CoC","Multiple Races","110"
2017,"Santa Cruz County CoC","Native Hawaiian or Pacific Islander","19"
2017,"Santa Cruz County CoC","Unknown","65"
2017,"Santa Cruz County CoC","White","1332"
2017,"Mendocino County CoC","American Indian, Alaska Native, or Indigenous","65"
2017,"Mendocino County CoC","Black, African American, or African","34"
2017,"Mendocino County CoC","Multiple Races","39"
2017,"Mendocino County CoC","White","555"
2017,"Stanislaus County CoC","American Indian, Alaska Native, or Indigenous","151"
2017,"Stanislaus County CoC","Asian or Asian American","88"
2017,"Stanislaus County CoC","Black, African American, or African","771"
2017,"Stanislaus County CoC","Multiple Races","451"
2017,"Stanislaus County CoC","Native Hawaiian or Pacific Islander","91"
2017,"Stanislaus County CoC","White","4603"
2017,"San Joaquin County CoC","American Indian, Alaska Native, or Indigenous","133"
2017,"San Joaquin County CoC","Asian or Asian American","185"
2017,"San Joaquin County CoC","Black, African American, or African","3284"
2017,"San Joaquin County CoC","Multiple Races","644"
2017,"San Joaquin County CoC","Native Hawaiian or Pacific Islander","90"
2017,"San Joaquin County CoC","Unknown","361"
2017,"San Joaquin County CoC","White","4922"
2017,"San Mateo County CoC","American Indian, Alaska Native, or Indigenous","281"
2017,"San Mateo County CoC","Asian or Asian American","233"
2017,"San Mateo County CoC","Black, African American, or African","775"
2017,"San Mateo County CoC","Multiple Races","177"
2017,"San Mateo County CoC","Native Hawaiian or Pacific Islander","381"
2017,"San Mateo County CoC","Unknown","69"
2017,"San Mateo County CoC","White","2258"
2017,"Kings, Tulare Counties CoC","American Indian, Alaska Native, or Indigenous","98"
2017,"Kings, Tulare Counties CoC","Asian or Asian American","15"
2017,"Kings, Tulare Counties CoC","Black, African American, or African","376"
2017,"Kings, Tulare Counties CoC","Multiple Races","97"
2017,"Kings, Tulare Counties CoC","Native Hawaiian or Pacific Islander","15"
2017,"Kings, Tulare Counties CoC","Unknown","111"
2017,"Kings, Tulare Counties CoC","White","2257"
2017,"Fresno, Madera Counties CoC","American Indian, Alaska Native, or Indigenous","86"
2017,"Fresno, Madera Counties CoC","Asian or Asian American","29"
2017,"Fresno, Madera Counties CoC","Black, African American, or African","496"
2017,"Fresno, Madera Counties CoC","Multiple Races","78"
2017,"Fresno, Madera Counties CoC","Native Hawaiian or Pacific Islander","13"
2017,"Fresno, Madera Counties CoC","White","1488"
2017,"Placer County CoC","American Indian, Alaska Native, or Indigenous","41"
2017,"Placer County CoC","Black, African American, or African","93"
2017,"Placer County CoC","Multiple Races","156"
2017,"Placer County CoC","Unknown","18"
2017,"Placer County CoC","White","948"
2017,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","American Indian, Alaska Native, or Indigenous","14"
2017,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Multiple Races","25"
2017,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Unknown","39"
